Id,Date,How Many Hours
1,2021-01-04,8.0
2,2021-01-05,8.0
3,2021-01-07,8.0
4,2021-01-08,2.0
5,2021-01-06,7.0
6,2021-01-09,0.0
8,2021-01-10,0.0
9,2021-01-11,6.0
10,2021-01-12,5.0
11,2021-01-13,2.0
12,2021-01-15,1.0
13,2021-01-14,4.0
14,2021-01-18,3.0
15,2021-01-17,0.0
16,2021-01-16,0.0
17,2021-01-19,4.5
18,2021-01-20,4.0
19,2021-01-21,2.5
20,2021-01-22,2.0
21,2021-01-23,0.0
22,2021-01-24,0.0
23,2021-01-25,6.0
24,2021-01-26,5.0
25,2021-01-27,6.0
26,2021-01-28,4.0
27,2021-01-29,1.0
28,2021-01-30,0.0
29,2021-02-01,1.0
30,2021-01-31,0.0
31,2021-02-04,0.0
32,2021-02-05,0.0
33,2021-02-06,0.0
34,2021-02-08,0.0
35,2021-02-07,0.0
36,2021-02-09,0.0
37,2021-02-10,0.0
38,2021-02-11,1.0
39,2021-02-12,0.0
40,2021-02-15,0.0
41,2021-02-14,0.0
42,2021-02-15,4.0
43,2021-02-16,4.0
44,2021-02-17,5.0
45,2021-02-18,3.0
46,2021-02-19,0.0
47,2021-02-20,0.0
